Title,City,District,Building_Area,Land_Area,Price,Area_Total,Category
INDUSTRIAL STYLE AREA KIARASARI RUMAH BARU,Bandung,Kiaracondong,121,80,1400000000,201,Medium
Jual rumah sayap supratman JL Cisadea,Bandung,Cibeunying Kidul,230,735,9750000000,965,Large
Dijual Cepat Rumah Kembar Timur,Bandung,,135,131,1800000000,266,Medium
1 Unit Lagi   Townhouse Ina Housing 3,Bandung,,68,87,647500000,155,Small
Renov total siap huni classic  modern di GEGERKALONG bdg utars,Bandung,Gegerkalong,189,250,2999900000,439,Large
Rumah Tumbuh banyak bukaan di Riung bandung,Bandung,Cisaranten Wetan,120,165,1690000000,285,Medium
Rumah semivilla tropis modern Dago giri bdg utara,Bandung,Dago,170,335,3500000000,505,Large
Dijual Cepat Hanya 1 Unit,Bandung,,40,64,475000000,104,Small
Hunian  Bagi Keluarga Anda di Bandung,Bandung,Cileunyi,45,105,885000000,150,Small
Rumah Dekat Kampus Unpad di Bandung,Bandung,Cileunyi,45,105,885000000,150,Small
Rumah Vila Sejuk dg Kolam dan Mataair di Pasirimpun Atas,Bandung,Pasir Impun,180,1162,1350000000,1342,Large
Rumah 1 Lantai di Lokasi Strategis  Perumahan Ekslusif Bandung Timur,Bandung,Soekarno Hatta,42,72,1001908000,114,Small
HUNIAN ISLAMI SYAHIRAH DI CIKUYA MARGAASIH CICILAN MURAH PROMO MENARIK,Bandung,Nanjung,30,60,180000000,90,Small
Sisa 1 Unit Rumah 2 Lantai Hanya 365jtan,Bandung,Parongpong,40,60,365000000,100,Small
Rumah 3 kamar tidur bisa custom tata ruang,Bandung,Cijerah,65,38,794850000,103,Small
Rumah Modern 2 Lantai Cocok Untuk Kaum Milenial di Lokasi Strategis Bandung,Bandung,Soekarno Hatta,82,90,1498040000,172,Small
Rumah Premium di Jalan Utama Perumahan Ekslusif Bandung Timur,Bandung,Rancasari,185,189,3887350000,374,Large
MURAH Turun Harga Guest House Aktif di Sanggar Hurip Soekarno Hatta,Bandung,Soekarno Hatta,300,130,1750000000,430,Large
Rumah Belanda clasik di dekat Ahmad Yani sayap Riau kota Bandung,Bandung,Riau,450,732,12800000000,1182,Large
Turun Harga Banyak  Rumah Cakep Pondok Hijau 10 Menit ke Setiabudi,Bandung,,460,300,3990000000,760,Large
Rumah Cakep Semi Furnish di Kota Baru Parahyangan  Padalarang,Bandung,,130,144,2250000000,274,Medium
Rumah Subsidi Murah di Perumahan Modern Bandung Selatan,Bandung,Banjaran,22,60,165000000,82,Small
Dijual Rumah di Jatihandap Bandung,Bandung,Cibeunying Kidul,90,98,600000000,188,Small
Rumah minimalismoderen dengan gaya klasik,Bandung,Warung muncang,70,40,847500000,110,Small
JUAL RUMAH LOKASI STRATEGIS 2 LANTAI DI KOMPLEK BUKIT INDAH PASANGGRAHAN BANDUNG,Bandung,Ujung Berung,148,91,500000000,239,Medium
Mandala town house bandung jual rumah siap huni,Bandung,Warung muncang,65,38,794850000,103,Small
Rumah Baru di Duta Graha ResidenceBanyu Biru Pasir Pogor,Bandung,,40,72,550000000,112,Small
Rumah dijual cepat lokasi di CLUSTER Garden Villas Pinus Regency,Bandung,,85,72,850000000,157,Small
5 MENIT TOL SEROJA Soreang Bandung,Bandung,Soreang,36,73,667407000,109,Small
jual rumah murah 2 lantai dekat tol pasir koja bandung kota,Bandung,Andir,58,35,750000000,93,Small
200 meter Jlah nasution cicahem bandung BISA KPR,Bandung,Cicaheum,62,62,1042570029,124,Small
Grand Sharon Hunian Istimewa Konsep Baru Pencahayaan Alami Di Bandung Timur,Bandung,Gedebage,42,72,866300000,114,Small
Rumah murah di Banding kota,Bandung,Bandung Kulon,70,40,847500000,110,Small
Jual rumah bandung barat,Bandung,Padalarang,75,84,802000000,159,Small
Rumah 2 lantai BATUNUNGGAL bisa untuk kost2an atau kantor,Bandung,Batununggal,340,220,4300000000,560,Large
RUMAH SIAP HUNI HANYA SATU UNIT DI KAWASAN PODOMORO PARK BANDUNG,Bandung,Bojongsoang,94,90,1700000000,184,Medium
Rumah Subsidi Modern Terbaik di Arjasari Bandung Selatan,Bandung,Buahbatu,30,60,150500000,90,Small
Rumah baru semi villa view gunung dan kota bandung,Bandung,Cileunyi,50,63,428888889,113,Small
Rumah Subsidi Soreang,Bandung,Soreang,30,60,155500000,90,Small
rumah murah tengah kota bandung cluster ciwastra urban living grand sumarecon,Bandung,Ciwastra,70,74,650000000,144,Small
rumah harga promo ready stock arcamanik,Bandung,Arcamanik,36,136,899000000,172,Small
Ashfara permata sukamukti,Bandung,Katapang,30,60,278092000,90,Small
Jual Cepat Murah Rumah  Kost Jl Sukabumi dkt Mall IBCC,Bandung,Batununggal,180,96,825000000,276,Large
Jual Rumah Jl Kembar Bandung Nego Sampai Deal,Bandung,Regol,120,246,1800000000,366,Medium
RUMAH SUBSIDI GRAND RISCON SOREANG DEKAT TOL SOROJA,Bandung,Soreang,30,60,150500000,90,Small
Rumah Asri dan Nyaman di Arcamanik,Bandung,Arcamanik,260,280,3500000000,540,Large
Dijual rumah murah minimalis taman cibaduyut indah tci,Bandung,Cibaduyut,65,80,820000000,145,Small
RUMAH SUBSIDI KOTA BARU ARJASARI BANDUNG SELATAN,Bandung,Banjaran,30,60,155025000,90,Small
Rumah Minimalis di Cluster Favorite Taman Kopo Indah 5,Bandung,Margahayu,115,118,1450000000,233,Medium
padasuka rumah murah jatihandap asri ahmad land cicaheum dkt arcamanik antapani,Bandung,Jatihandap,36,84,365000000,120,Small
Rumah murah di sariwangi asri,Bandung,Sarijadi,90,99,1350000000,189,Small
Rumah Baru Downslope di Bandung padalarang jayamekar kota baru parahyangan,Bandung,Padalarang,36,60,500830800,96,Small
Jarang ada Rumah Baru Siap Huni di Gedebage Kota Bandung dekat Pintu Tol,Bandung,Gedebage,50,73,650000000,123,Small
Rumah murah di Bandung selatan,Bandung,Soreang,30,60,283000000,90,Small
Rumah Citra Green DAGO,Bandung,Dago,520,440,11800000000,960,Large
RUMAH SUBSIDI BANJARAN BANDUNG PROMO HANYA 75JUTA BIAYANYA,Bandung,Banjaran,30,61,150500000,91,Small
Rumah Baru 2 lantai Arcamanik Bandung Timur Cisaranten Kulon dekat antapani,Bandung,Arcamanik,125,119,1699750000,244,Medium
Dijual Rumah Baru Modern dekat Tol Pasteur Bandung Utara Cashback Edisi Lebaran,Bandung,Pasteur,149,63,1499000000,212,Medium
2 LANTAI 600JTAN RIUNG GALERI KOTA BANDUNG,Bandung,,45,101,675000000,146,Small
Rumah Murah Dibawah Harga Pasaran Turangga Buahbatu,Bandung,Turangga,150,300,2350000000,450,Medium
perumahan di lokasi strategis harga terjangkau fullspek  free desain,Bandung,Pameungpeuk,40,60,170000000,100,Small
rumah mewah ready stock indent villa bukit cileunyi bkkbn cimekar bandung,Bandung,Cileunyi,40,63,385000000,103,Small
Rumah Kompleks Mekarwangi,Bandung,Mekarwangi,200,300,3800000000,500,Large
hunian minimalis di kab bandung harga terjangkau lokasi strategis,Bandung,Pameungpeuk,40,60,175000000,100,Small
jual rumah komplek mekarwangi,Bandung,Mekarwangi,360,180,4850000000,540,Large
WHITE HOUSE CIBIRU  CLUSTER MILENIAL TANPA BI CHECKING  BEBAS RIBA DAN DENDA,Bandung,Cileunyi,38,60,373000000,98,Small
Dijual Kosan Aktif di Lokasi Strategis di Turangga Buahbatu Kota Bandung,Bandung,Buahbatu,530,200,4000000000,730,Large
Jual Rumah Minimalis Komplek Permata biru Cinunuk,Bandung,Cileunyi,40,60,340000000,100,Small
Rumah Minimalis Industrial Semi Vila di Citra Green Dago Fully Furnished,Bandung,Dago,200,200,2750000000,400,Large
The Emeralda Resort Rumah Impian Masa Kini,Bandung,Padalarang,60,60,589000000,120,Small
Hanya 900 Jutaan Bisa Dapat Rumah Type Upslope,Bandung,Padalarang,75,84,900000000,159,Small
Rumah siap huni bergaransi grand duta rancatungku bandung,Bandung,,30,60,184000000,90,Small
Perumahan Baru Nuansa Villa di Arcamanik Kotamadya Bandung One Gate,Bandung,Antapani,77,119,1276000000,196,Small
Dp 0 cicilan 900000 an arjasari banjaran,Bandung,Arjasari,30,60,155025000,90,Small
Rumah Industrial Style dekat Kampus Jatinangor,Bandung,Cileunyi,36,60,425000000,96,Small
Rumah cantik menarik di Villa Pasirwangi Ujungberung Kota Bandung,Bandung,Ujung Berung,45,125,635000000,170,Small
Rumah Minimalis Harga Terjangkau dekat Exit Tol Cileunyi,Bandung,Cileunyi Kulon,30,60,395000000,90,Small
Jual cepat rumah siap hunistrategis sarijadi,Bandung,Sarijadi,647,306,9700000000,953,Large
DIJUAL CEPAT RUMAH MURAH READYSTOCK MINIMALISBANDUNG TIMUR CIBIRU,Bandung,Cibiru,40,60,337000000,100,Small
Rumah Sayap Cipanganti Bawah Rumah Pusat Kota Bonus 14 Kamar Kost,Bandung,Cipaganti,300,830,21500000000,1130,Large
Cluster Rumah Mewah Vigentta Soreang,Bandung,Soreang,60,70,689000000,130,Small
Rumah subsidi DP 0,Bandung,Arjasari,30,60,155025000,90,Small
Rumah Milenial 2Lt View Cantik Udara Sejuk Segar di Cipadung Kotamadya Bandung,Bandung,Arcamanik,41,50,453000000,91,Small
Rumah Dekat Borma Katapang Dp 30 Jt All In Angsuran 21 Jt SHM,Bandung,Katapang,36,60,433300000,96,Small
Rumah Siap Huni,Bandung,,120,153,1350000000,273,Medium
RUMAH MURAH BEBAS BANJIR DI KOTA BANDUNG  BENTANG ARTHA RESIDENCE,Bandung,Buahbatu,46,95,620000000,141,Small
Dijual rumah unik dan minimalis semi furnish di Taman Kopo Indah 5,Bandung,Kopo,240,280,3000000000,520,Large
Dijual Rumah Minimalis Modern Di Tengah Kota Sayap Turangga,Bandung,Turangga,350,308,5499000000,658,Large
RUMAH TERBAIK PADALARANG Jaminan Legalitas AMAN Blok E Residence,Bandung,Padalarang,45,69,603635800,114,Small
Rumah Suryalaya Baru Bandung,Bandung,Buahbatu,350,386,4200000000,736,Large
Di Jual Rumah Malabar,Bandung,Batununggal,400,805,13000000000,1205,Large
Dijual Rumah di Jl Dr Setiabudi  Bandung,Bandung,Cidadap,400,620,18000000000,1020,Large
Rumah Bandung Utara dekat Universitas Maranatha daerah Sariwangi Sarijadi,Bandung,Parongpong,80,102,1317654800,182,Small
Rumah Large Cipaganti Dekat PVJ Kamar Tidur 8,Bandung,Cipaganti,750,568,19500000000,1318,Large
Rumah murah bandung,Bandung,Katapang,50,70,265000000,120,Small
Rumah Baru Dp Ringan 25jt all In sd terima kunci cicilan 26jtbln,Bandung,Cileunyi,36,85,479000000,121,Small
Rumah Terawat Jalan Dahlia Sayap Riau Murah,Bandung,,250,200,6100000000,450,Large
Prima amerta rumah baru dp5jt lokasi dekat tol soroja kota soreang bandung,Bandung,Soreang,40,72,495000000,112,Small
Dijual Rumah Asri Etnik Nusantara Di Pasirsalam,Bandung,Pasirluyu,236,360,4600000000,596,Large
Dijual Rumah Type Tipikal Di Batununggal,Bandung,Batununggal,240,198,3250000000,438,Large
Bumi Pratama Asri Cluster Exclusive Bandung Timur 100 Meter dari Jalan Nasional,Bandung,Cinunuk,40,60,479750000,100,Small
Rumah cluster one gate keamanan 24 jam promo,Bandung,Cinunuk,36,60,255000000,96,Small
Dijual RUMAH di PODOMORO PARK BANDUNG Cluster Premium Brahmapuri,Bandung,Buahbatu,147,140,3800150000,287,Medium
hunian minimalis modern di kab bandung harga terjangkau,Bandung,Pameungpeuk,50,70,211000000,120,Small
Jual Rumah Kost di Cisitu Lama Dago Dekat Kampus ITB,Bandung,Dago,700,500,8975000000,1200,Large
Rumah Situsari Akses Jalan Lebar Ada Kosan,Bandung,Lengkong,187,198,2600000000,385,Large
Rumah Mewah Strategis 2Lt di Arcamanik Kotamadya Bandung,Bandung,Antapani,125,119,1750000000,244,Medium
Dijual Rumah Setrasari Tengah,Bandung,,220,130,3119000000,350,Large
Murah rumah 3 lantai hrg 420jt nego di panyileukan kodya Bandung,Bandung,Soekarno Hatta,111,60,420000000,171,Medium
Rumah Luas Nyaman Dan Asri Dengan Adanya Taman Hijau,Bandung,,500,375,10200000000,875,Large
Rumah Strategis Sukaluyu Terawat,Bandung,Cikutra,300,396,5400000000,696,Large
rumah luas harga murah lt270150 hrg1850jt di arcamanik endah bandung,Bandung,Arcamanik,155,270,1850000000,425,Large
Rumah Mewah Minimalis Kawasan Utara Bandung Timur View Pegunungan dekat Exit Tol,Bandung,Cibiru,36,72,456000000,108,Small
Graha Panyileukan,Bandung,Panyileukan,68,60,772000000,128,Small
Rumah 2 Lantai 10KT 5KM Semi Furnished Di Cijaurah Soekarno Hatta Bandung,Bandung,Soekarno Hatta,900,587,8500000000,1487,Large
Di Jual Rumah  Podomoro,Bandung,,127,126,2750000000,253,Medium
Rumah siap Huni di Sariwangi,Bandung,Sarijadi,90,122,1150000000,212,Small
JUAL RUMAH PERMATA BIRU BARU RENOVASI,Bandung,Cileunyi,45,60,360000000,105,Small
Dijual Rumah Minimalis Modern di Pusat kota Bandung,Bandung,Garuda,74,48,1086000000,122,Small
Rumah Lux di cluster Elite Singgasana Haven ex Golf,Bandung,Mekarwangi,240,160,4500000000,400,Large
Jual Villa Murah Bandung,Bandung,Lembang,128,1500,1800000000,1628,Medium
Rumah Rasa 2 Lantai Murah Fasilitas Kota Baru Parahyangan,Bandung,Bandung Kulon,36,72,457000000,108,Small
WHITE HOUSE CIBIRU,Bandung,Cibiru Hilir,38,60,373000000,98,Small
legalitas dijamin aman perumahan grand duta rancatungku,Bandung,,45,72,338000000,117,Small
Cluster ter MURAAH Arcamanik kota bandung strategis dekat Polsek Arcamanik,Bandung,Arcamanik,36,60,525000000,96,Small
rumah siap huni paling laris murah masuk mobil,Bandung,Buahbatu,30,45,115000000,75,Small
jual cepat rumah siap huni istana mekar wangi,Bandung,Mekarwangi,165,245,3750000000,410,Large
kavling di lokasi strategis di kab bandung harga terjangkau fullspek,Bandung,Pameungpeuk,36,50,151000000,86,Small
Podomoro Park Bandung Cluster Fashagriya,Bandung,Buahbatu,94,90,1440000000,184,Medium
Podomoro Park Bandung Cluster Padmagriya,Bandung,Buahbatu,36,66,850000000,102,Small
rumah Bandung timur,Bandung,Ujung Berung,45,72,550000000,117,Small
Jual Rumah Dekat Tol Pasteur Dibawah 1M Jarang Ada,Bandung,Cicendo,60,90,800000000,150,Small
Rumah 3 KT  2 KM dekat ke Jalan Nasional di Bandung Timur,Bandung,Cileunyi Kulon,54,60,627000000,114,Small
JUAL RUMAH PADASUKA KOMPLEK USB YPKP CIMEUNYAN,Bandung,Cimenyan,50,72,635000000,122,Small
Dijual  Rumah Gunung Batu Bandung Harga Nego,Bandung,,240,270,2500000000,510,Large
DIJUAL RUMAH MINIMALIS KONSEP CLASIC  BENTANG ARTHA BANDUNG,Bandung,Buahbatu,41,78,543111000,119,Small
WOW GRATIS SHM CUMA DI BANDUNG SELATAN DIJUAL MURAH RUMAH VILLA,Bandung,Soreang,40,83,345000000,123,Small
Dijual Rumah 5 Kamar Tidur di Bandung,Bandung,Buahbatu,125,90,850000000,215,Medium
Rumah di Surapati Core,Bandung,Cibeunying Kidul,110,193,2500000000,303,Medium
Dijual Rumah 5 Kamar Tidur di Bandung,Bandung,Buahbatu,125,90,850000000,215,Medium
LAUNCHING RUMAH BARU HARGA 800 JUTAAN DI KAWASAN DAGO RESORT,Bandung,Cimenyan,50,86,810000000,136,Small
Rumah Dijual Harga Spesial Awal Bulan Hemat 300 jtan,Bandung,Padalarang,75,84,600000000,159,Small
Jual rumah baru daerah Bandung Padalarang dekat ikea kota baru parahyangan,Bandung,Padalarang,36,72,443747700,108,Small
Rumah Bandung Timur di Ciwastra Gedebage Buahbatu Margacinta Bojongsoang murah,Bandung,Bojongsoang,36,91,805983300,127,Small
Podomoro Park Bandung Cluster Brahmapuri,Bandung,Buahbatu,147,140,3490000000,287,Medium
Rumah Baru di Bandung Soreang Panyirapan Sukanagara Cempaka Ciwidey Kopo,Bandung,Soreang,36,106,569921800,142,Small
Jual Villa Bandung full furnished view keren,Bandung,Dago,128,1500,1800000000,1628,Medium
RUMAH DEKAT TOL PADALARANG BIKIN HATI TENANG cuma 2 menit kurang,Bandung,Padalarang,55,62,766900125,117,Small
Podomoro Park Bandung Cluster Anapuri,Bandung,Buahbatu,156,160,3266500000,316,Large
Dijual Rumah Large Dipusat Kota Bandung,Bandung,Batununggal,400,336,4200000000,736,Large
DI AREA HIJAU ADA SI CANTIK YANG BIKIN JATUH HATI RUMAH DAGO PAKARBDG,Bandung,Dago,215,314,3000000000,529,Large
Rumah Murah Hitung Tanah Blakang Horison Dkt SMA 5 Turangga Buahbatu,Bandung,Turangga,105,180,1599000000,285,Medium
PROMO AWAL TAHUNRumah Type downslope 25 Lantai di padalarang,Bandung,Padalarang,75,84,500000000,159,Small
Dijual Rumah Sukahaji Permai,Bandung,,300,238,3650000000,538,Large
Rumah Minimalis dekat Jalan Tol Cileunyi,Bandung,Cileunyi,36,69,434000000,105,Small
Rumah 25 lantai padalarang promo 700 jutaan 10 menit ke exit tol padalarang,Bandung,Padalarang,75,84,754000000,159,Small
Rumah Mewah Resor Dago Pakar,Bandung,Coblong,850,428,13000000000,1278,Large
HOT BERANI TURUN JAUH LANGSUNG NEGO AJA RUMAH BAGUS JARANG ADA DI PARONGPONG,Bandung,Parongpong,560,835,7000000000,1395,Large
Rumah DP ringan dekat gerbang toll simpang susun cileunyi,Bandung,Cileunyi Kulon,36,72,435000000,108,Small
Dijual rumah tinggal perumahan Pondok Hijau,Bandung,,240,220,3750000000,460,Large
BUTIK SARIWANGI 2 LANTAI SIAP HUNI MULAIDARI 600JTAN NEGO,Bandung,Mekarwangi,55,74,650000000,129,Small
Dijual Rumah Batununggal Dlm Cluster,Bandung,Batununggal,170,210,3000000000,380,Large
Rumah Cantik 2 Lantai Idaman Dengan skema cicilan 36 Kali Pembayaran Tanpa bank,Bandung,Cibiru Hilir,45,85,531250000,130,Small
Rumah di Coblong nego,Bandung,Coblong,250,248,4500000000,498,Large
PALING MURAH RUMAH 2 LANTAI 400JTAN STRATEGIS CIBIRU,Bandung,Cibiru,50,72,495000000,122,Small
DiJual Rumah di JlWindu Akses JlGatot Subroto  Pelajar Pejuang Harga 87 M,Bandung,Lengkong,350,410,8800000000,760,Large
rumah murah bandung timur,Bandung,Cibiru Wetan,80,60,335000000,140,Small
DIJUAL CEPAT Rumah di Soreang Indah,Bandung,Soreang,120,66,750000000,186,Medium
RUMAH BARU DI MARGAHAYU RAYA AKSES STRATEGIS JALAN LEBAR DEKAT METRO INDAH MALL,Bandung,Margahayu,120,120,1200000000,240,Medium
Sisa 1 Unit Rumah baru 2 lantai area Pasir Salam Kembar Bkr Buah batu,Bandung,Buahbatu,150,110,1900000000,260,Medium
HARGA NEGO RUMAH BARU 2 LANTAI DI TURANGGA BUAH BATU STRATEGIS TENGAH KOTA,Bandung,Turangga,160,126,2300000000,286,Large
Di JualRumah Dua Lantai Murah Inden Arjuna Land City,Bandung,Bojongsoang,45,60,460000000,105,Small
Rumah Minimalis Arjuna Land City Bojongsoang,Bandung,Buahbatu,36,50,287000000,86,Small
MURAH Rumah Lama Daerah Taman Holis Indah Jual Cepat,Bandung,Cigondewah,108,96,1200000000,204,Medium
rumah semi villa dgn kolam ikan di cisarua,Bandung,Cisarua,100,280,882000000,380,Medium
Rumah 2 Lantai Komplek Bandung Timur Regency,Bandung,Ujung Berung,140,120,1600000000,260,Medium
Dijual Rumah Baru Lux Modern di Komplek Elite Setiabudi Regency Bandung Utara,Bandung,Setiabudi,1100,1000,29000000000,2100,Large
Rumah Minimalis Ready Stok Murah Bandung,Bandung,Pameungpeuk,45,72,200000000,117,Small
rumah fullspek dekat tol soroja sudah shm,Bandung,Soreang,36,50,155000000,86,Small
Rumah murah mewah jln elang Maleber Andir Bandung kota,Bandung,Andir,74,56,1000000000,130,Small
Rumah murah mewah cibuntuBandung kulon,Bandung,Bandung Kulon,70,40,800000000,110,Small
Dijual Rumah 2 Lantai Cisaranten Kidul Etnik Bali DP 0 Lokasi Pinggir Jalan Uta,Bandung,Gedebage,83,91,1200000000,174,Small
Rumah Minimalis Mewah Tapi Murah Siap huni Bandung,Bandung,Rancamulya,40,60,230000000,100,Small
DIJUAL Rumah Baru Minimalis Dalam Pembangunan di Griya Caringin Jatinangor Jln,Bandung,Jatinangor,50,60,525000000,110,Small
RUMAH SIAP HUNI DI GAHARU RESIDENT,Bandung,Katapang,40,60,240000000,100,Small
rumah bagus jl saturnus utara margahayu raya,Bandung,Rancasari,196,204,2500000000,400,Large
Dijual Rumah sangat terawat SIAP HUNI di Kopo Bandung 65M NEGO,Bandung,Margahayu,1000,1000,6500000000,2000,Large
Podomoro Park Bandung Cluster Wangsagriya,Bandung,Buahbatu,82,72,1470000000,154,Small
rumah nyaman dekat tol soroja harga terjangkau,Bandung,Soreang,36,50,155000000,86,Small
rumah mewah  peninggalan belanda,Bandung,Cicendo,374,1268,39900000000,1642,Large
RUMAH ASRI DI BURANGRANG PUSAT KOTA BANDUNG DEKAT KE ASIA AFRIKA,Bandung,Buahbatu,250,301,3950000000,551,Large
Rumah 2 lantai dengan 51 kelebihan di Bandung Selatan,Bandung,,65,72,1126000000,137,Small
Jarang ada 600jutaan  sangat dekat ke Antapani Kota Bandung,Bandung,Antapani,45,75,650000000,120,Small
Dijual rumah 2 lt dlm cluster elite mekarwangi,Bandung,Mekarwangi,110,75,1650000000,185,Medium
Rumah Komersil 2 kamar DP 1 jt Bisa Allinn Sampai Akad dan Terima Kunci,Bandung,Cicalengka,30,66,419000000,96,Small
Rumah Milyuner di  Kota Mandiri,Bandung,Gedebage,90,73,1600000000,163,Small
perumahan mewah islami di padasuka dekat terminal cicaheum dan bandung kota,Bandung,Padasuka,120,110,1370000000,230,Medium
PROMO GILA  DIJUAL RUMAH 2 LANTAI HARGA MIRING DI BANDUNG,Bandung,Soreang,40,83,376000000,123,Small
Rumah tanpa Dp kekinian,Bandung,Banjaran,40,72,312000000,112,Small
rumah nyaman,Bandung,,120,250,890000000,370,Medium
Rumah Resor Dago Pakar Harga Nego,Bandung,Coblong,300,354,5000000000,654,Large
Cukup DP 1 Jt  Bisa Dapat Rumah Cantik Murah Dengan Pemandangan Kota Cicalengka,Bandung,Cileunyi Kulon,30,66,340000000,96,Small
RUMAH SIAP HUNI BUTIK SARIWANGI ALA AMERIKA KLASIK 600JTAN,Bandung,,65,74,820000000,139,Small
Rumah Terawat Golf Barat Arcamanik,Bandung,Arcamanik,466,300,3200000000,766,Large
Dijual rumah 2 lt on progress di batununggal indah,Bandung,Batununggal,110,84,1800000000,194,Medium
CUSS JANGAN SAMPAI KELEWATAN HUNIAN MINIMALIS DI ARCAMANIK BIKIN BETAH BANGET,Bandung,Arcamanik,102,98,840000000,200,Medium
Rumah vintage Bandung dekat pusat kota,Bandung,Arcamanik,36,137,1170000000,173,Small
Rumah daerah sekelimus Buah Batu Bandung belakang spbu buah batu,Bandung,Buahbatu,130,90,800000000,220,Medium
Cihanjuang villas,Bandung,Parongpong,45,100,500000000,145,Small
Rumah 200 jutaan DEKAT PODOMORO PARK Buah Batu Bandung Harga Termurah di bawah,Bandung,Bojongsoang,32,50,280000000,82,Small
Rumah Siap Huni View Kota Bandung Di Buana Hiltop Bandung,Bandung,Cilengkrang,112,148,699000000,260,Medium
Type Hook Summer Hills Dago,Bandung,Dago,55,102,749000000,157,Small
CIWARUGA VILLAS,Bandung,Parongpong,40,90,500000000,130,Small
Rumah terawat Dago mainroad,Bandung,Coblong,112,2822,126990000000,2934,Medium
Hadiahkan untuk keluarga tercinta anda,Bandung,Parongpong,40,120,535000000,160,Small
Rumah Islami di Soreang Bandung Selatan Green Soreang Residence,Bandung,Soreang,36,75,467000000,111,Small
Rumah Murah Mega Raya Pasteur,Bandung,Arcamanik,160,160,1600000000,320,Large
Dijual rumah sangat strategis sayap dago,Bandung,Coblong,680,650,18500000000,1330,Large
klaster Terbaru Podomoro Park,Bandung,Bojongsoang,82,72,1688000000,154,Small
RUMAH BENTANG ARTHA RESIDENCE TAHAP 3 BATCH 2,Bandung,Buahbatu,45,61,450600000,106,Small
Dijual Rumah Daerah Pasir Jati,Bandung,Pasir Jati,160,107,925000000,267,Large
Rumah Bagus Minimalis Siap Huni di Komplek Margaasih dekat ke Gerbang Tol Margaasih,Bandung,Margaasih,90,103,550000000,193,Small
RUMAH CLUSTER MUTIARA DREAMLAND ARCAMANIK,Bandung,Arcamanik,60,90,700000000,150,Small
Rumah Neglasari,Bandung,Ciumbuleuit,155,1164,17460000000,1319,Large
Rumah Kekinian dekat Toll Cileunyi Bandung Timur,Bandung,Cileunyi,36,72,480000000,108,Small
DIJUAL RUMAH SIAP HUNI DI DAGO KOTA BANDUNG,Bandung,Dago,150,200,3000000000,350,Medium
Batununggal  Dijual Rumah Murah Batununggal,Bandung,Batununggal,200,250,3000000000,450,Large
dijual cepat rumah siap huni di bumi orange,Bandung,Cibiru,36,60,195000000,96,Small
Dijual Rumah Summer Hills Dago Living Premium,Bandung,Dago,150,200,2900000000,350,Medium
Rumah mewah Lembang Bandung,Bandung,Lembang,350,276,4075000000,626,Large
Rumah 2 KT di Kawasan Bebas Banjir dan Sejuk dekat Tol Cileunyi,Bandung,Cileunyi Kulon,36,60,425000000,96,Small
PALING MURAH RUMAH 1 LANTAI 300JTAN PALING VIRAL CIBIRU,Bandung,Sukajadi,36,72,395000000,108,Small
Dijual rumah lux di sayap pungkur lengkong,Bandung,Lengkong,400,235,5000000000,635,Large
Rumah Large bangunan lama dalam komplek Cibeureum kodya bandung,Bandung,Cijerah,500,743,4500000000,1243,Large
jual cepat rumah siap huni sayap hegarmanah,Bandung,Hegarmanah,370,293,4150000000,663,Large
600jutaan rumah di Kamayangan Residence harga NEGO ,Bandung,Arcamanik,40,75,670000000,115,Small
Jual Rumah Baru Mewah Minimalis Sumber Sari Bandung,Bandung,Soekarno Hatta,240,180,3750000000,420,Large
Rumah Bagus Siap Huni Arcamanik Bandung,Bandung,Arcamanik,280,330,2300000000,610,Large
Rumah  Kavling Laris Ciwaruga Joro Dekat  Wisata Lembang Sisa 1 Unit Lagi,Bandung,Parongpong,45,125,535000000,170,Small
Rumah murah idaman di GPAC2 Blok Chiisana Sakura Cileunyi Bandung,Bandung,Cileunyi,36,72,372000000,108,Small
Dijual Rumah di Cigadung Selatann III  Bandung,Bandung,Cibeunying Kaler,315,315,4500000000,630,Large
Siap Huni Rumah Pasir Salam,Bandung,Regol,110,74,1400000000,184,Medium
Milenial Wajib Punya Rumah Ini Gaya Jepang di Pasirjati Ujungberung,Bandung,Cilengkrang,61,72,671000000,133,Small
Dijual rumah mewah suasana sejuk,Bandung,Hegarmanah,700,1302,24200000000,2002,Large
rumah murah lokasi dekat pusat kota bandung,Bandung,Pameungpeuk,36,56,154000000,92,Small
KAWASAN PREMIUM BANDUNG DEKAT KOTABARU THE EMERALDA RESORT BANDUNG PAD,Bandung,Padalarang,75,84,750000000,159,Small
Rumah strategis pusat kota bandung,Bandung,Soekarno Hatta,167,172,1049000000,339,Large
Rumah gagah di Cisaranten ancarmanik,Bandung,Cisaranten Kulon,50,75,645000000,125,Small
SURVEY RUMAH BERKELAS DI SETRADUTABANDUNG PASTI IDOLA KELUARGA,Bandung,Sukasari,700,700,16500000000,1400,Large
KELAMAAN MIKIR PASTI KEHABISAN RUMAH ELIT DI SETRADUTABANDUNG BURUAN,Bandung,Sukasari,226,205,3700000000,431,Large
BIKIN KEJUTAN KELUARGA YUK MILIKI RUMAH IMPIANYA DI SETRADUTABANDUNG,Bandung,Sukasari,500,529,11500000000,1029,Large
Rumah gagah di Cisaranten ancarmanik,Bandung,Cisaranten Kulon,50,75,645000000,125,Small
