Title,City,District,Building_Area,Land_Area,Price,Area_Total,Category
DiJual Rumah Sudah Siap Huni,Jakarta,Jatinegara,120,120,1900000000,240,Medium
jual cluster minimalis kredit developer dijakarta timur,Jakarta,Lubang Buaya,40,40,399000000,80,Small
Rumah 2 lantai dekat mrt lebak bulus dan busway,Jakarta,Lebak Bulus,90,105,994000000,195,Small
Dijual Rumah with rooftop Akses Pinggir jalan 2 mobil dkt cilandak dijagakarsa,Jakarta,Jagakarsa,150,87,1875000000,237,Medium
Dijual Rumah Cantik di Jakarta Selatan Cilandak,Jakarta,Cilandak,150,101,4350000000,251,Medium
Dijual Rumah 3 Lantai di Janur Hijau Lokasi Strategis Dekat Mall dan Perkantoran,Jakarta,Kelapa Gading,150,150,4850000000,300,Medium
Hunian tipe cluster di Paseban timur Jakarta pusat,Jakarta,,45,22,350000000,67,Small
DIJUAL CEPAT RUMAH 5 KAMAR TIDUR TANJUNG DUREN LOKASI STRATEGIS,Jakarta,Tanjung Duren,150,157,2700000000,307,Medium
"Precium Simatupang , townhouse terbaru di ampera kemang",Jakarta,TB Simatupang,200,130,7000000000,330,Large
Turun Harga Rumah Kost Senen Murah Strategis Full Anti Pandemi,Jakarta,Senen,1553,774,19000000000,2327,Large
Tanah dan 4 bangunan diatasnya,Jakarta,Petukangan Utara,500,710,15000000000,1210,Large
Rumah Minimalis 2 lantai lokasi dekat suntermall dan stadion jis,Jakarta,Tanjung Priok,33,21,450000000,54,Small
Rumah Minimalis dengan harga murah di Utan Kayu Jl Sirsak Jaktim,Jakarta,Utan Kayu,42,21,410000000,63,Small
Rumah baru 2 tingkat murah bebas banjir GRAND KARTIKA Cibubur,Jakarta,Cibubur,98,98,1800000000,196,Medium
Rumah luas dan Bagus di Lebak Bulus,Jakarta,Lebak Bulus,1800,1025,22000000000,2825,Large
RUMAH DIJUAL DI OTISTA (NEGO SAMPAI JADI) !!!,Jakarta,,600,400,9000000000,1000,Large
Dijual Rumah Daerah Manggarai Strategis Ditengah Kota Jakarta,Jakarta,,200,199,2800000000,399,Large
Rumah Bagus Siap Huni Dijual di Johar Baru,Jakarta,Johar Baru,186,252,7000000000,438,Large
Dijual rumah homey di billy moon pondok kelapa.,Jakarta,Duren Sawit,118,116,1750000000,234,Medium
Rumah Mewah Jalan Benda Jagakarsa Dkt Ragunan Kebagusan Cilandak,Jakarta,Jagakarsa,150,98,1750000000,248,Medium
rumah cluster nyaman asri shm dekat tol Cibubur,Jakarta,Pasar Rebo,68,60,790000000,128,Small
Asya Cluster Kelimutu,Jakarta,Cakung,105,105,4000000000,210,Medium
Dijual Rumah Mewah Diapit 2 AKses Tol - Cibubur Depok,Jakarta,Cibubur,70,60,790000000,130,Small
rumah baru kartini pasar baru termurah terjangkau,Jakarta,Kartini,38,21,608000000,59,Small
